Full_name,Short_name,Topic,Type,-one,zero,one,two,three,four,five,six,seven,eight,nine,ten
*Are you self-employed?*,Employment,Employment details,Binary,,,,,,,,,,,,
How many employees does your company or organization have?,Organization_size,Employment details,Ordinal,,,1-5,6-25,26-100,100-500,500-1000,More than 1000,,,,
Is your employer primarily a tech company/organization?,Employer_focus,Employment details,Binary,,,,,,,,,,,,
Is your primary role within your company related to tech/IT?,Role_focus,Employment details,Binary,,,,,,,,,,,,
Does your employer provide mental health benefits as part of healthcare coverage?,Benefits_status,Benefits & support,Binary+,No,,Yes,,,,,,,,,
Do you know the options for mental health care available under your employer-provided health coverage?,Benefits_awareness,Benefits & support,Binary+,No,,Yes,,,,,,,,,
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Mental_health_communication,Current employer communication,Binary+,No,,Yes,,,,,,,,,
Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Mental_health_resources,Benefits & support,Binary+,No,,Yes,,,,,,,,,
Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Treatment_anonymity,Benefits & support,Binary+,No,,Yes,,,,,,,,,
"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Leave_openness,Benefits & support,Ordinal,,,Difficult,Somewhat difficult,I don�t know,Neither easy nor difficult,Somewhat easy,Very easy,,,,
Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Communication_mental_vs_physical,Current employer communication,Binary+,Physical health,,Mental health,,,,,,,,,
Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Communication_supervisor,Current employer communication,Binary+,No,,Yes,,,,,,,,,
Have you ever discussed your mental health with your employer?,Communication_status_employer,Current employer communication,Binary,,,,,,,,,,,,
"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Communication_employer_comments,Current employer communication,Comment,,,,,,,,,,,,
Would you feel comfortable discussing a mental health issue with your coworkers?,Communication_coworker,Current employer communication,Binary+,No,,Yes,,,,,,,,,
Have you ever discussed your mental health with coworkers?,Communication_status_coworker,Current employer communication,Binary,,,,,,,,,,,,
Describe the conversation with coworkers you had about your mental health including their reactions.,Communication_coworker_comments,Current employer communication,Comment,,,,,,,,,,,,
Have you ever had a coworker discuss their or another coworker's mental health with you?,Communication_indirect,Current employer communication,Binary,,,,,,,,,,,,
Describe the conversation your coworker had with you about their mental health (please do not use names).,Communication_indirect_comments,Current employer communication,Comment,,,,,,,,,,,,
"Overall, how much importance does your employer place on physical health?",Employer_importance_physical,Employee observations and impressions,Ordinal,,0,1,2,3,4,5,6,7,8,9,10
"Overall, how much importance does your employer place on mental health?",Employer_importance_mental,Employee observations and impressions,Ordinal,,0,1,2,3,4,5,6,7,8,9,10
Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Coverage_inclusion,Benefits & support,Binary,,,,,,,,,,,,
Do you know local or online resources to seek help for a mental health issue?,Mental_health_external_resources,Benefits & support,Binary+,No,,Yes,,,,,,,,,
"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?",Diagnosis_reveal_clients,Health & diagnosis,Binary+,No,,Yes,,,,,,,,,
"If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?",Reveal_clients_impact,Health & diagnosis,Binary+,Negatively,,Positively,,,,,,,,,
"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Diagnosis_reveal_coworkers,Health & diagnosis,Binary+,No,,Yes,,,,,,,,,
"If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Reveal_coworkers_impact,Health & diagnosis,Binary+,Negatively,,Positively,,,,,,,,,
Do you believe your productivity is ever affected by a mental health issue?,Productivity_impact_status,Productivity,Binary+,No,,Yes,,,,,,,,,
"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Productivity_impact_percentage,Productivity,Ordinal,,,1-25%,26-50%,51-75%,76-100%,,,,,,
*Do you have previous employers?*,Previous_employment,Employment details,Binary,,,,,,,,,,,,
Was your employer primarily a tech company/organization?,Previous_employer_focus,Employment details,Binary,,,,,,,,,,,,
Have your previous employers provided mental health benefits?,Previous_benefits_status,Benefits & support,Binary+,No,,Yes,,,,,,,,,
Were you aware of the options for mental health care provided by your previous employers?,Previous_benefits_awareness,Benefits & support,Binary+,"No,",,Yes,,,,,,,,,
Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Previous_mental_health_communication,Current employer communication,Binary+,None did,,Yes,,,,,,,,,
Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Previous_mental_health_resources,Benefits & support,Binary+,None did,,Yes,,,,,,,,,
